Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles||_date_|_origin_latitude_|_origin_longitude_|_dest_latitude_|_dest_longitude_|_delete_this_
TMS|25647078|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647079|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647080|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647081|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647082|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647085|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647088|21-Jul-20|HTN|21736|DRY|HOUSTON|TX|77029|LEESVILLE|LA|71446|206||2020-07-21|29.760794|-95.26043|31.138723|-93.22745|FALSE
TMS|25647091|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647092|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647094|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647095|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647098|21-Jul-20|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41||2020-07-21|29.760794|-95.26043|30.313308|-95.45085|FALSE
TMS|25647099|21-Jul-20|HTN|51733|DRY|HOUSTON|TX|77029|LAKE CHARLES|LA|70615|144||2020-07-21|29.760794|-95.26043|30.239906|-93.14977|FALSE
TMS|25647100|21-Jul-20|HTN|51733|DRY|HOUSTON|TX|77029|LAKE CHARLES|LA|70615|144||2020-07-21|29.760794|-95.26043|30.239906|-93.14977|FALSE
TMS|25647102|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647104|21-Jul-20|HTN|34254|DRY|HOUSTON|TX|77029|LLANO|TX|78643|236||2020-07-21|29.760794|-95.26043|30.721302|-98.66557|FALSE
