Original;BreweryGroup;Lane;Origin;OriginWslr;OriginCity;OriginState;OriginType;Destination;DestinationWslr;DestinationCity;DestinationState;DestinationType;OW_Miles;TR_Loads;BH_Loads;tgt_ded_pcnt;bbls;ActDedicatedPayload;DedicatedLoads;Loads;FilledLoads;TotalLoadsToFill;DedicatedLoadsToFill
238;COL;COL_64767;COL;43400;COLUMBUS;OH;BRWY;64767;64767;ROMNEY;WV;WS;355;0;0;0;137;136;\N;1;\N;1;\N
324;COL;OHCO_11600;OHCO;53400;OBETZ;OH;DC;11600;11600;LOUISVILLE;KY;WS;227;5;0;0;27209;151;\N;180;5;175;\N
347;COL;OHCO_62155;OHCO;53400;OBETZ;OH;DC;62155;62155;BAY CITY;MI;WS;309;12;0;6;27111;138;12;197;12;185;\N
297;COL;OHCO_91646;OHCO;53400;OBETZ;OH;DC;91646;91646;LEXINGTON;KY;WS;177;14;0;8;22002;150;12;147;14;133;\N
315;COL;OHCO_12119;OHCO;53400;OBETZ;OH;DC;12119;12119;ROMULUS;MI;WS;208;5;0;3;21053;148;5;142;5;137;\N
326;COL;OHCO_12122;OHCO;53400;OBETZ;OH;DC;12122;12122;DETROIT;MI;WB;229;3;0;2;20991;139;3;151;3;148;\N
357;COL;OHCO_33107;OHCO;53400;OBETZ;OH;DC;33107;33107;LANCASTER;NY;WS;339;0;0;0;18483;139;\N;133;\N;133;\N
368;COL;OHCO_63124;OHCO;53400;OBETZ;OH;DC;63124;63124;WEST HENRIETTA;NY;WS;398;0;0;0;18161;130;\N;139;\N;139;\N
333;COL;OHCO_02132;OHCO;53400;OBETZ;OH;DC;2132;2132;WARREN;MI;NE;240;0;0;0;17129;108;\N;158;\N;158;\N
316;COL;OHCO_61346;OHCO;53400;OBETZ;OH;DC;61346;61346;KOKOMO;IN;WS;209;12;0;9;17117;148;11;116;12;104;\N
331;COL;OHCO_12154;OHCO;53400;OBETZ;OH;DC;12154;12154;CLINTON TOWNSHIP;MI;WS;238;1;0;1;16912;145;1;117;1;116;\N
302;COL;OHCO_51397;OHCO;53400;OBETZ;OH;DC;51397;51397;ANDERSON;IN;WS;185;47;0;41;15355;146;43;105;47;58;\N
298;COL;OHCO_33496;OHCO;53400;OBETZ;OH;DC;33496;33496;AUSTINTOWN;OH;WS;178;8;0;0;15239;142;\N;107;8;99;\N
342;COL;OHCO_42146;OHCO;53400;OBETZ;OH;DC;42146;42146;LANSING;MI;WB;295;12;0;11;14555;141;11;103;12;91;\N
303;COL;OHCO_41380;OHCO;53400;OBETZ;OH;DC;41380;41380;FORT WAYNE;IN;WS;187;20;0;18;14551;146;18;99;20;79;\N
340;COL;OHCO_33742;OHCO;53400;OBETZ;OH;DC;33742;33742;JOHNSTOWN;PA;WS;280;4;0;4;14246;141;4;101;4;97;\N
341;COL;OHCO_32143;OHCO;53400;OBETZ;OH;DC;32143;32143;KALAMAZOO;MI;WB;289;6;0;6;13811;139;6;99;6;93;\N
327;COL;OHCO_42138;OHCO;53400;OBETZ;OH;DC;42138;42138;JACKSON;MI;WS;232;3;0;3;12221;141;3;86;3;83;\N
294;COL;OHCO_03490;OHCO;53400;OBETZ;OH;DC;3490;3490;MAPLE HEIGHTS;OH;NE;164;0;0;0;11817;104;\N;114;\N;114;\N
