Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit,,,Inc Miles,Inc Minutes,Benefit
veh-25674125,,,,,,,,,,,,,,,,,
veh-25674128,,,,,,,,,,,,,,,,,
veh-25674128,,,,,,,,,,,,,,,,,
veh-25674128,,,,,,,,,,,,,,,,,
veh-25674128,,,,,,,,,,,,,,,,,
veh-25674128,,,,,,,,,,,,,,,,,
veh-25674130,,,,,,,,,,,,,,,,,
veh-25674130,,,,,,,,,,,,,,,,,
veh-25674130,,,,,,,,,,,,,,,,,
veh-25674130,,,,,,,,,,,,,,,,,
veh-25674130,,,,,,,,,,,,,,,,,
veh-25674131,,,,,,,,,,,,,,,,,
veh-25674131,,,,,,,,,,,,,,,,,
veh-25674131,,,,,,,,,,,,,,,,,
veh-25674131,,,,,,,,,,,,,,,,,
veh-25674131,,,,,,,,,,,,,,,,,
veh-25674134,,,,,,,,,,,,,,,,,
veh-25674134,,,,,,,,,,,,,,,,,
veh-25674134,,,,,,,,,,,,,,,,,
veh-25674134,,,,,,,,,,,,,,,,,
veh-25674134,,,,,,,,,,,,,,,,,
veh-25674135,,,,,,,,,,,,,,,,,
veh-25674135,,,,,,,,,,,,,,,,,
veh-25674135,,,,,,,,,,,,,,,,,
veh-25674135,,,,,,,,,,,,,,,,,
veh-25674135,,,,,,,,,,,,,,,,,
veh-25674136,,,,,,,,,,,,,,,,,
veh-25674136,,,,,,,,,,,,,,,,,
veh-25674136,,,,,,,,,,,,,,,,,
veh-25674136,,,,,,,,,,,,,,,,,
veh-25674136,,,,,,,,,,,,,,,,,
veh-25674137,,,,,,,,,,,,,,,,,
veh-25674137,,,,,,,,,,,,,,,,,
veh-25674137,,,,,,,,,,,,,,,,,
veh-25674137,,,,,,,,,,,,,,,,,
veh-25674137,,,,,,,,,,,,,,,,,
veh-25674138,,,,,,,,,,,,,,,,,
veh-25674138,,,,,,,,,,,,,,,,,
veh-25674138,,,,,,,,,,,,,,,,,
veh-25674138,,,,,,,,,,,,,,,,,
veh-25674138,,,,,,,,,,,,,,,,,
veh-25674139,,,,,,,,,,,,,,,,,
veh-25674139,,,,,,,,,,,,,,,,,
veh-25674139,,,,,,,,,,,,,,,,,
veh-25674139,,,,,,,,,,,,,,,,,
veh-25674139,,,,,,,,,,,,,,,,,
veh-25674141,,,,,,,,,,,,,,,,,
veh-25674141,,,,,,,,,,,,,,,,,
veh-25674141,,,,,,,,,,,,,,,,,
veh-25674141,,,,,,,,,,,,,,,,,
veh-25674141,,,,,,,,,,,,,,,,,
veh-25674142,,,,,,,,,,,,,,,,,
